Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,2,1,...,...,...,...,...,...,...,...,...,...,3
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,5,5,...,...,...,...,...,...,...,...,...,...,10
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,...,...,...,...,...,...,...,...,...,...,0
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,1,1,...,...,...,...,...,...,...,...,...,...,2
Nº DE ARMAS DE FOGO APREENDIDAS,2,1,...,...,...,...,...,...,...,...,...,...,3
Nº DE FLAGRANTES LAVRADOS,2,3,...,...,...,...,...,...,...,...,...,...,5
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,...,...,...,...,...,...,...,...,...,...,0
Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,...,...,...,...,...,...,...,...,...,...,0
Nº DE PESSOAS PRESAS EM FLAGRANTE,2,3,...,...,...,...,...,...,...,...,...,...,5
Nº DE PESSOAS PRESAS POR MANDADO,0,0,...,...,...,...,...,...,...,...,...,...,0
Nº DE PRISÕES EFETUADAS,2,3,...,...,...,...,...,...,...,...,...,...,5
Nº DE VEÍCULOS RECUPERADOS,2,1,...,...,...,...,...,...,...,...,...,...,3
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,10,6,...,...,...,...,...,...,...,...,...,...,16
